cart_position,reorder_rate,n_items
1,0.6775329297509016,3214874
2,0.6762507496421011,3058126
3,0.6580367401997748,2871133
4,0.6369577636925858,2664106
5,0.6173831144234805,2442025
6,0.6004201120750601,2213695
7,0.5856874553126353,1986020
8,0.5732474374495332,1766014
9,0.5614735319715354,1562640
10,0.551017816966349,1378293
11,0.5410140483185638,1212743
12,0.5325829217052386,1065282
13,0.5247755707923941,933702
14,0.5163748682407989,816831
15,0.5091902382114232,713148
16,0.5029074631860776,621504
17,0.4960078621241061,540312
18,0.4908220884013716,468952
19,0.48490486632555874,406323
20,0.4798950800270835,351506
21,0.4750173033189414,303410
22,0.4702978814515173,261547
23,0.46563400672353994,225179
24,0.4593425560832425,193507
25,0.4563331370687687,166442
26,0.45357735473888355,142829
27,0.44838672824898407,122546
28,0.44274591178206324,105058
29,0.44081550980479345,89956
30,0.43947843947843945,76923
31,0.4330765014009014,65672
32,0.42904761055952656,56101
33,0.42597678192485333,48066
34,0.4269993913572733,41075
35,0.4221042415938802,35034
36,0.421325744894543,29870
37,0.41735066567175905,25463
38,0.4140574786520981,21782
39,0.41513995594476977,18613
40,0.4093358395989975,15960
41,0.4119666861484512,13688
42,0.4107600341588386,11710
43,0.4018673023440604,10068
44,0.40237985212569316,8656
45,0.4108224525508144,7429
46,0.4000940291490362,6381
47,0.4059423988333941,5486
48,0.39700611427366644,4743
49,0.4055622732769045,4135
50,0.40033594624860025,3572
51,0.4079844206426485,3081
52,0.39449199851135097,2687
53,0.3980333475844378,2339
54,0.4256460263286202,2051
55,0.4380630630630631,1776
56,0.4059278350515464,1552
57,0.41249092229484385,1377
58,0.42036124794745483,1218
59,0.43779677113010446,1053
60,0.42505353319057815,934
61,0.39114391143911437,813
62,0.40392706872370265,713
63,0.4022082018927445,634
64,0.4144620811287478,567
65,0.4,510
66,0.40700218818380746,457
67,0.39705882352941174,408
68,0.3983516483516483,364
69,0.39384615384615385,325
70,0.4219269102990033,301
71,0.41044776119402987,268
72,0.36554621848739494,238
73,0.4186046511627907,215
74,0.45077720207253885,193
75,0.42011834319526625,169
76,0.41875,160
77,0.4563758389261745,149
78,0.44776119402985076,134
79,0.488,125
80,0.4406779661016949,118
81,0.44144144144144143,111
82,0.46226415094339623,106
83,0.4845360824742268,97
84,0.40860215053763443,93
85,0.4578313253012048,83
86,0.4358974358974359,78
87,0.4507042253521127,71
88,0.44776119402985076,67
89,0.48333333333333334,60
90,0.44642857142857145,56
91,0.4,55
92,0.5686274509803921,51
93,0.5714285714285714,42
94,0.5,38
95,0.5135135135135135,37
96,0.6363636363636364,33
97,0.6,30
98,0.5666666666666667,30
99,0.46153846153846156,26
100,0.4166666666666667,24
101,0.35,20
102,0.3888888888888889,18
103,0.4,15
104,0.4,15
105,0.38461538461538464,13
106,0.5,12
107,0.5,12
108,0.25,12
109,0.2,10
110,0.25,8
111,0.375,8
112,0.375,8
113,0.2857142857142857,7
114,0.2857142857142857,7
115,0.5,6
116,0.4,5
117,0.25,4
118,0.25,4
119,0.0,4
120,0.25,4
121,0.25,4
122,0.0,3
123,0.3333333333333333,3
124,0.3333333333333333,3
125,0.3333333333333333,3
126,0.3333333333333333,3
127,0.3333333333333333,3
128,0.5,2
129,0.5,2
130,0.5,2
131,0.5,2
132,0.0,2
133,0.5,2
134,0.5,2
135,0.5,2
136,0.5,2
137,0.5,2
138,0.0,1
139,0.0,1
140,0.0,1
141,0.0,1
142,0.0,1
143,0.0,1
144,0.0,1
145,0.0,1
